Text,Polarity
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,neutral
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,positive
my whole body feels itchy and like its on fire ,positive
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",negative
@Kwesidei not the whole crew ,positive
Need a hug ,neutral
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",positive
@Tatiana_K nope they didn't have it ,neutral
@twittera que me muera ? ,neutral
spring break in plain city... it's snowing ,negative
I just re-pierced my ears ,neutral
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,neutral
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",neutral
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",positive
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,neutral
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,neutral
about to file taxes ,neutral
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,positive
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,neutral
@alydesigns i was out most of the day so didn't get much done ,positive
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",neutral
@angry_barista I baked you a cake but I ated it ,neutral
this week is not going as i had hoped ,neutral
blagh class at 8 tomorrow ,neutral
I hate when I have to call and wake people up ,negative
Just going to cry myself to sleep after watching Marley and Me.  ,neutral
im sad now  Miss.Lilly,negative
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,positive
Meh... Almost Lover is the exception... this track gets me depressed every time. ,neutral
some1 hacked my account on aim  now i have to make a new one,positive
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,neutral
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,neutral
@julieebaby awe i love you too!!!! 1 am here  i miss you,positive
@HumpNinja I cry my asian eyes to sleep at night ,neutral
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,negative
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,negative
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,negative
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,negative
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,positive
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,positive
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,neutral
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",negative
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,positive
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,negative
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,positive
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",neutral
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,positive
is strangely sad about LiLo and SamRo breaking up. ,negative
@tea oh! i'm so sorry  i didn't think about that before retweeting.,negative
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,negative
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",positive
our duck and chicken are taking wayyy too long to hatch ,negative
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",negative
I need a hug ,neutral
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",negative
@oanhLove I hate when that happens... ,negative
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",negative
Ugh....92 degrees tomorrow ,neutral
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,neutral
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",neutral
just leaving the parking lot of work! ,neutral
The Life is cool. But not for Me. ,positive
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",negative
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,negative
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,negative
Damm back to school tomorrow ,neutral
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",neutral
@katortiz  Not forever... See you soon!,neutral
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",neutral
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,negative
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,positive
i really hate how people diss my bands!  Trace is clearly NOT ugly!,negative
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",positive
Why won't you show my location?!   http://twitpic.com/2y2es,neutral
No picnic  my phone smells like citrus.,neutral
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",positive
No new csi tonight.  FML,negative
i think my arms are sore from tennis ,neutral
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,negative
sleep soon... i just hate saying bye and see you tomorrow for the night. ,negative
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",negative
missin' the boo ,neutral
@markhardy1974 Me too  #itm,neutral
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,negative
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",negative
@msdrama hey missed ya at the meeting  sup mama,neutral
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",neutral
why is it always the fat ones?! ,neutral
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",negative
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,positive
wednesday my b-day! don't know what 2 do!! ,neutral
Poor cameron (the hills) ,negative
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",neutral
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",positive
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,negative
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",positive
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",negative
"@stark YOU don't follow me, either  and i work for you!",neutral
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,positive
